Feature,Importance
Original Price,0.09901972415241089
Product ID,0.06881771357733457
WeekOfYear_cos,0.056400273645482946
WeekOfYear_sin,0.03972754822772262
Region,0.031178469487945372
Segment,0.029986466255525476
DayOfWeek_sin,0.029543949394198465
Discount,0.02670549640972264
Sub-Category,0.022655782525719165
Year,0.01503228538209056
Month_sin,0.01351435225988018
DayOfWeek_cos,0.010585887851154663
Month_cos,0.009908915572856669
