iter	Passed	Remaining
455	364	3630
456	364	3626
457	365	3622
458	365	3617
459	366	3615
460	366	3611
461	367	3606
462	367	3602
463	367	3596
464	368	3592
465	369	3594
466	369	3591
467	370	3586
468	370	3581
469	371	3578
470	371	3573
471	372	3571
472	372	3569
473	373	3566
474	374	3563
475	374	3557
476	374	3555
477	375	3552
478	376	3550
479	376	3546
480	377	3544
481	377	3541
482	378	3539
483	379	3537
484	379	3534
485	379	3529
486	380	3527
487	381	3522
488	381	3520
489	382	3516
490	382	3513
491	383	3512
492	383	3510
493	384	3509
494	385	3507
495	385	3504
496	386	3502
497	387	3500
498	387	3497
499	388	3493
500	388	3491
501	389	3489
502	389	3486
503	390	3481
504	390	3478
505	391	3475
506	391	3472
507	392	3469
508	392	3465
509	393	3468
510	394	3465
511	395	3463
512	395	3460
513	396	3457
514	396	3455
515	397	3452
516	397	3450
517	398	3448
518	399	3446
519	399	3444
520	400	3441
521	400	3438
522	401	3433
523	401	3430
524	401	3425
525	402	3422
526	402	3419
527	403	3416
528	403	3413
529	404	3409
530	404	3408
531	406	3412
532	406	3410
533	407	3412
534	408	3408
535	409	3407
536	409	3403
537	409	3400
538	410	3397
539	410	3393
540	411	3390
541	411	3388
542	412	3385
543	412	3380
544	413	3381
545	414	3378
546	414	3374
547	415	3372
548	415	3369
549	416	3367
550	416	3364
551	417	3363
552	417	3361
553	418	3358
554	419	3356
555	419	3354
556	420	3352
557	420	3349
558	421	3346
559	421	3343
560	422	3340
561	422	3337
562	423	3334
563	423	3332
564	424	3328
565	424	3324
566	424	3321
567	425	3319
568	426	3317
569	426	3315
570	427	3316
571	428	3314
572	428	3312
573	429	3310
574	429	3307
575	430	3305
576	430	3303
577	431	3300
578	431	3298
579	432	3297
580	433	3299
581	434	3297
582	434	3293
583	436	3297
584	436	3295
585	437	3293
586	437	3288
587	437	3286
588	438	3281
589	438	3278
590	438	3274
591	439	3271
592	439	3269
593	440	3265
594	440	3264
595	441	3260
596	441	3259
597	442	3256
598	443	3255
599	443	3252
600	444	3250
601	444	3247
602	444	3244
603	445	3242
604	445	3238
605	446	3236
606	446	3234
607	447	3233
608	448	3230
609	448	3227
610	449	3230
611	450	3226
612	450	3225
613	451	3224
614	452	3226
615	452	3223
616	453	3221
617	454	3219
618	454	3217
619	455	3214
620	455	3212
621	456	3210
622	456	3209
623	457	3206
624	457	3205
625	458	3203
626	459	3201
627	459	3199
628	460	3197
629	460	3194
630	460	3191
631	461	3190
632	462	3189
633	462	3185
634	463	3182
635	463	3180
636	463	3178
637	465	3180
638	465	3177
639	466	3175
640	466	3172
641	466	3168
642	467	3165
643	467	3162
644	468	3160
645	468	3157
646	468	3155
647	469	3154
648	470	3152
649	470	3149
650	471	3146
651	472	3149
652	472	3148
653	473	3145
654	474	3146
655	474	3144
656	475	3142
657	476	3141
658	476	3139
659	477	3137
660	477	3135
661	478	3132
662	478	3131
663	479	3130
664	479	3128
665	480	3126
666	480	3123
667	481	3122
668	482	3120
669	482	3116
670	482	3114
671	483	3112
672	483	3109
673	484	3107
674	484	3105
675	485	3107
676	486	3105
677	487	3104
678	487	3101
679	487	3098
680	488	3096
681	488	3093
682	489	3091
683	489	3089
684	490	3087
685	490	3083
686	491	3084
687	492	3085
688	493	3085
689	494	3086
690	494	3085
691	494	3081
692	495	3079
693	496	3077
694	496	3076
695	497	3074
696	498	3077
697	499	3076
698	499	3074
699	500	3072
700	501	3074
701	502	3076
702	503	3074
703	503	3072
704	503	3069
705	504	3067
706	504	3064
707	505	3061
708	505	3059
709	506	3060
710	507	3058
711	507	3056
712	507	3053
713	508	3050
714	508	3048
715	509	3047
716	509	3044
717	510	3043
718	510	3041
719	511	3039
720	511	3037
721	512	3034
722	512	3030
723	512	3029
724	513	3025
725	513	3023
726	513	3020
727	514	3018
728	515	3018
729	515	3017
730	517	3020
731	517	3019
732	518	3017
733	519	3020
734	520	3018
735	520	3017
736	521	3014
737	521	3013
738	521	3009
739	522	3008
740	522	3005
741	523	3003
742	523	3002
743	524	3000
744	525	2999
745	526	3001
746	527	3004
747	528	3002
748	528	3001
749	529	2998
750	529	2996
751	530	2994
752	530	2992
753	531	2991
754	531	2988
755	532	2987
756	532	2985
757	533	2983
758	533	2981
759	533	2978
760	534	2976
761	534	2973
762	535	2971
763	535	2970
764	536	2969
765	537	2971
766	538	2973
767	539	2972
768	539	2970
769	540	2968
770	541	2967
771	542	2970
772	542	2968
773	543	2966
774	543	2964
775	544	2963
776	544	2960
777	545	2958
778	545	2956
779	546	2955
780	546	2953
781	547	2950
782	547	2949
783	547	2946
784	548	2944
785	548	2941
786	549	2939
787	549	2936
788	549	2934
789	550	2932
790	550	2931
791	552	2933
792	552	2932
793	553	2930
794	553	2929
795	554	2927
796	554	2925
797	555	2924
798	556	2925
799	556	2924
800	557	2922
801	558	2921
802	558	2919
803	559	2921
804	560	2919
805	560	2918
806	561	2917
807	561	2915
808	562	2914
809	563	2912
810	563	2911
811	564	2910
812	564	2908
813	565	2906
814	565	2904
815	565	2901
816	566	2899
817	566	2897
818	567	2895
819	567	2894
820	568	2892
821	568	2890
822	569	2889
823	569	2887
824	570	2886
825	570	2883
826	570	2881
827	571	2880
828	572	2878
829	573	2880
830	573	2879
831	574	2877
832	574	2875
833	575	2873
834	575	2870
835	576	2869
